entry,at,order
"The player ""kyle @ n-m4ymDhwV"" canceled the seat request.",2026-02-17T02:49:44.422Z,177129658442200
"The player ""Bilal @ F8s-PhiSH6"" stand up with the stack of 62.01.",2026-02-17T02:48:19.760Z,177129649976000
"The player ""Bilal @ F8s-PhiSH6"" sit back with the stack of 62.01.",2026-02-17T02:48:13.992Z,177129649399200
"The player ""kyle @ n-m4ymDhwV"" requested a seat.",2026-02-17T02:46:33.893Z,177129639389300
"The player ""kyle @ n-m4ymDhwV"" canceled the seat request.",2026-02-17T01:54:35.509Z,177129327550900
"The player ""kyle @ n-m4ymDhwV"" requested a seat.",2026-02-17T01:54:13.373Z,177129325337300
"The player ""Jon @ hjaoASonwz"" stand up with the stack of 207.80.",2026-02-17T01:02:25.909Z,177129014590900
"-- ending hand #350 --",2026-02-17T01:02:19.902Z,177129013990203
"""Jon @ hjaoASonwz"" collected 3.00 from pot with Flush, J High (combination: 3♠, 6♠, 8♠, 9♠, J♠)",2026-02-17T01:02:19.902Z,177129013990202
"""Jon @ hjaoASonwz"" shows a 8♠, 9♦.",2026-02-17T01:02:19.902Z,177129013990201
"""joemegatilted @ XQMYope2zs"" shows a K♣, 3♣.",2026-02-17T01:02:19.902Z,177129013990200
"""joemegatilted @ XQMYope2zs"" checks",2026-02-17T01:02:19.056Z,177129013905600
"""Jon @ hjaoASonwz"" checks",2026-02-17T01:02:18.050Z,177129013805000
"River: 6♠, 3♠, J♠, 2♣ [9♠]",2026-02-17T01:02:17.638Z,177129013763800
"""joemegatilted @ XQMYope2zs"" checks",2026-02-17T01:02:16.818Z,177129013681800
"""Jon @ hjaoASonwz"" checks",2026-02-17T01:02:15.634Z,177129013563400
"Turn: 6♠, 3♠, J♠ [2♣]",2026-02-17T01:02:15.102Z,177129013510200
"""joemegatilted @ XQMYope2zs"" checks",2026-02-17T01:02:14.280Z,177129013428000
"""Jon @ hjaoASonwz"" checks",2026-02-17T01:02:13.290Z,177129013329000
"Flop:  [6♠, 3♠, J♠]",2026-02-17T01:02:12.097Z,177129013209700
"""Jon @ hjaoASonwz"" calls 1.50",2026-02-17T01:02:11.265Z,177129013126500
"""joemegatilted @ XQMYope2zs"" raises to 1.50",2026-02-17T01:02:10.271Z,177129013027100
"""Jon @ hjaoASonwz"" posts a big blind of 0.50",2026-02-17T01:02:08.398Z,177129012839807
"""joemegatilted @ XQMYope2zs"" posts a small blind of 0.25",2026-02-17T01:02:08.398Z,177129012839806
"Player stacks: #1 ""Jon @ hjaoASonwz"" (206.30) | #10 ""joemegatilted @ XQMYope2zs"" (138.93)",2026-02-17T01:02:08.398Z,177129012839803
"-- starting hand #350 (id: bzi1c7oc2nku)  No Limit Texas Hold'em (dealer: ""joemegatilted @ XQMYope2zs"") --",2026-02-17T01:02:08.398Z,177129012839802
"The player ""Jon @ hjaoASonwz"" joined the game with a stack of 206.30.",2026-02-17T01:02:08.398Z,177129012839801
"The player ""Bilal @ F8s-PhiSH6"" stand up with the stack of 62.01.",2026-02-17T01:02:08.398Z,177129012839800
"-- ending hand #349 --",2026-02-17T01:02:05.491Z,177129012549102
"""Bilal @ F8s-PhiSH6"" collected 1.00 from pot",2026-02-17T01:02:05.491Z,177129012549101
"Uncalled bet of 1.00 returned to ""Bilal @ F8s-PhiSH6""",2026-02-17T01:02:05.491Z,177129012549100
"""joemegatilted @ XQMYope2zs"" folds",2026-02-17T01:02:04.682Z,177129012468200
"""Bilal @ F8s-PhiSH6"" raises to 1.50",2026-02-17T01:02:03.769Z,177129012376900
