entry,at,order
"The player ""Dirty Binker @ co_9sNWQ3W"" stand up with the stack of 719.80.",2026-02-15T08:52:05.861Z,177114552586101
"The player ""colin @ 3a8wWh_QDc"" stand up with the stack of 713.75.",2026-02-15T08:52:05.861Z,177114552586100
"""Manan @ _to1309KyP"" shows a A♠, J♣.",2026-02-15T08:52:02.935Z,177114552293500
"-- ending hand #640 --",2026-02-15T08:52:02.256Z,177114552225602
"""Manan @ _to1309KyP"" collected 4.00 from pot",2026-02-15T08:52:02.256Z,177114552225601
"Uncalled bet of 2.00 returned to ""Manan @ _to1309KyP""",2026-02-15T08:52:02.256Z,177114552225600
"""Dirty Binker @ co_9sNWQ3W"" folds",2026-02-15T08:52:01.403Z,177114552140300
"""Manan @ _to1309KyP"" raises to 4.00",2026-02-15T08:52:00.379Z,177114552037900
"""colin @ 3a8wWh_QDc"" folds",2026-02-15T08:51:56.812Z,177114551681200
"""Dirty Binker @ co_9sNWQ3W"" posts a big blind of 2.00",2026-02-15T08:51:50.539Z,177114551053906
"""Manan @ _to1309KyP"" posts a small blind of 1.00",2026-02-15T08:51:50.539Z,177114551053905
"Player stacks: #1 ""colin @ 3a8wWh_QDc"" (713.75) | #6 ""Manan @ _to1309KyP"" (160.50) | #8 ""Dirty Binker @ co_9sNWQ3W"" (721.80)",2026-02-15T08:51:50.539Z,177114551053901
"-- starting hand #640 (id: otqq6byww8s0)  No Limit Texas Hold'em (dealer: ""colin @ 3a8wWh_QDc"") --",2026-02-15T08:51:50.539Z,177114551053900
"-- ending hand #639 --",2026-02-15T08:51:47.585Z,177114550758502
"""colin @ 3a8wWh_QDc"" collected 38.00 from pot",2026-02-15T08:51:47.585Z,177114550758501
"Uncalled bet of 6.00 returned to ""colin @ 3a8wWh_QDc""",2026-02-15T08:51:47.585Z,177114550758500
"""Dirty Binker @ co_9sNWQ3W"" folds",2026-02-15T08:51:46.758Z,177114550675800
"""colin @ 3a8wWh_QDc"" bets 6.00",2026-02-15T08:51:41.987Z,177114550198700
"River: 6♣, 4♠, 3♦, 7♥ [3♣]",2026-02-15T08:51:36.645Z,177114549664500
"""Dirty Binker @ co_9sNWQ3W"" checks",2026-02-15T08:51:35.820Z,177114549582000
"""colin @ 3a8wWh_QDc"" checks",2026-02-15T08:51:33.242Z,177114549324200
