entry,at,order
"The player ""colin @ 3a8wWh_QDc"" stand up with the stack of 102.03.",2026-02-17T08:22:23.091Z,177131654309100
"-- ending hand #310 --",2026-02-17T08:22:20.166Z,177131654016602
"""Jon @ hjaoASonwz"" collected 1.00 from pot",2026-02-17T08:22:20.166Z,177131654016601
"Uncalled bet of 0.50 returned to ""Jon @ hjaoASonwz""",2026-02-17T08:22:20.166Z,177131654016600
"""colin @ 3a8wWh_QDc"" folds",2026-02-17T08:22:19.331Z,177131653933100
"""Jon @ hjaoASonwz"" posts a straddle of 1.00",2026-02-17T08:22:13.363Z,177131653336306
"""colin @ 3a8wWh_QDc"" posts a big blind of 0.50",2026-02-17T08:22:13.363Z,177131653336305
"""Jon @ hjaoASonwz"" posts a small blind of 0.25",2026-02-17T08:22:13.363Z,177131653336304
"Player stacks: #5 ""Jon @ hjaoASonwz"" (227.14) | #9 ""colin @ 3a8wWh_QDc"" (102.53)",2026-02-17T08:22:13.363Z,177131653336301
"-- starting hand #310 (id: 433yokexoqro)  Pot Limit Omaha Hi (dealer: ""Jon @ hjaoASonwz"") --",2026-02-17T08:22:13.363Z,177131653336300
"-- ending hand #309 --",2026-02-17T08:22:10.402Z,177131653040202
"""Jon @ hjaoASonwz"" collected 20.00 from pot",2026-02-17T08:22:10.402Z,177131653040201
"Uncalled bet of 20.00 returned to ""Jon @ hjaoASonwz""",2026-02-17T08:22:10.402Z,177131653040200
"""colin @ 3a8wWh_QDc"" folds",2026-02-17T08:22:09.584Z,177131652958400
"""Jon @ hjaoASonwz"" raises to 25.00",2026-02-17T08:21:33.480Z,177131649348000
"""colin @ 3a8wWh_QDc"" bets 5.00",2026-02-17T08:21:22.427Z,177131648242700
"""Jon @ hjaoASonwz"" checks",2026-02-17T08:21:18.997Z,177131647899700
"River: A♠, 6♣, 9♦, 6♥ [10♣]",2026-02-17T08:21:15.291Z,177131647529100
"""colin @ 3a8wWh_QDc"" calls 2.50",2026-02-17T08:21:14.458Z,177131647445800
"""Jon @ hjaoASonwz"" bets 2.50",2026-02-17T08:21:10.764Z,177131647076400
"Turn: A♠, 6♣, 9♦ [6♥]",2026-02-17T08:21:05.620Z,177131646562000
"""colin @ 3a8wWh_QDc"" calls 1.00",2026-02-17T08:21:04.752Z,177131646475200
"""Jon @ hjaoASonwz"" bets 1.00",2026-02-17T08:21:00.398Z,177131646039800
"Flop:  [A♠, 6♣, 9♦]",2026-02-17T08:20:57.771Z,177131645777100
"""colin @ 3a8wWh_QDc"" calls 1.50",2026-02-17T08:20:56.960Z,177131645696000
"""Jon @ hjaoASonwz"" raises to 1.50",2026-02-17T08:20:52.464Z,177131645246400
"""colin @ 3a8wWh_QDc"" calls 0.50",2026-02-17T08:20:42.987Z,177131644298700
"""Jon @ hjaoASonwz"" posts a big blind of 0.50",2026-02-17T08:20:39.052Z,177131643905207
"""colin @ 3a8wWh_QDc"" posts a small blind of 0.25",2026-02-17T08:20:39.052Z,177131643905206
"Player stacks: #5 ""Jon @ hjaoASonwz"" (217.14) | #9 ""colin @ 3a8wWh_QDc"" (112.53)",2026-02-17T08:20:39.052Z,177131643905203
"-- starting hand #309 (id: 0slubmjsmupr)  Pot Limit Omaha Hi (dealer: ""colin @ 3a8wWh_QDc"") --",2026-02-17T08:20:39.052Z,177131643905202
"The player ""broke @ NMdU2MV3Sf"" quits the game with a stack of 106.15.",2026-02-17T08:20:39.052Z,177131643905201
"The player ""Cheeesee 30min @ akgR0uz6JH"" stand up with the stack of 70.16.",2026-02-17T08:20:39.052Z,177131643905200
"-- ending hand #308 --",2026-02-17T08:20:36.088Z,177131643608802
"""colin @ 3a8wWh_QDc"" collected 4.50 from pot",2026-02-17T08:20:36.088Z,177131643608801
"Uncalled bet of 0.50 returned to ""colin @ 3a8wWh_QDc""",2026-02-17T08:20:36.088Z,177131643608800
"""Jon @ hjaoASonwz"" folds",2026-02-17T08:20:35.284Z,177131643528400
"""colin @ 3a8wWh_QDc"" bets 0.50",2026-02-17T08:20:34.206Z,177131643420600
"""Cheeesee 30min @ akgR0uz6JH"" folds",2026-02-17T08:20:30.677Z,177131643067700
"Flop:  [A♦, 3♦, 8♦]",2026-02-17T08:20:22.882Z,177131642288200
"""colin @ 3a8wWh_QDc"" calls 1.50",2026-02-17T08:20:22.070Z,177131642207000
"""Cheeesee 30min @ akgR0uz6JH"" calls 1.50",2026-02-17T08:20:19.766Z,177131641976600
"""Jon @ hjaoASonwz"" raises to 1.50",2026-02-17T08:20:18.402Z,177131641840200
"""broke @ NMdU2MV3Sf"" folds",2026-02-17T08:20:16.132Z,177131641613200
"""colin @ 3a8wWh_QDc"" posts a big blind of 0.50",2026-02-17T08:20:14.634Z,177131641463407
"""Cheeesee 30min @ akgR0uz6JH"" posts a small blind of 0.25",2026-02-17T08:20:14.634Z,177131641463406
"Player stacks: #1 ""broke @ NMdU2MV3Sf"" (106.15) | #5 ""Jon @ hjaoASonwz"" (218.64) | #7 ""Cheeesee 30min @ akgR0uz6JH"" (71.66) | #9 ""colin @ 3a8wWh_QDc"" (109.53)",2026-02-17T08:20:14.634Z,177131641463401
"-- starting hand #308 (id: rnu4f6lvjmhw)  Pot Limit Omaha Hi (dealer: ""Jon @ hjaoASonwz"") --",2026-02-17T08:20:14.634Z,177131641463400
"-- ending hand #307 --",2026-02-17T08:20:11.666Z,177131641166602
"""Cheeesee 30min @ akgR0uz6JH"" collected 13.50 from pot",2026-02-17T08:20:11.666Z,177131641166601
"Uncalled bet of 5.00 returned to ""Cheeesee 30min @ akgR0uz6JH""",2026-02-17T08:20:11.666Z,177131641166600
"""Jon @ hjaoASonwz"" folds",2026-02-17T08:20:10.861Z,177131641086100
"""Cheeesee 30min @ akgR0uz6JH"" bets 5.00",2026-02-17T08:20:09.946Z,177131640994600
"""Jon @ hjaoASonwz"" checks",2026-02-17T08:20:05.094Z,177131640509400
"Flop:  [10♦, 6♠, 8♦]",2026-02-17T08:20:04.058Z,177131640405800
"""Jon @ hjaoASonwz"" calls 6.00",2026-02-17T08:20:03.252Z,177131640325200
"""broke @ NMdU2MV3Sf"" folds",2026-02-17T08:20:01.627Z,177131640162700
"""Cheeesee 30min @ akgR0uz6JH"" raises to 6.00",2026-02-17T08:19:58.881Z,177131639888100
"""Jon @ hjaoASonwz"" calls 1.50",2026-02-17T08:19:55.298Z,177131639529800
"""broke @ NMdU2MV3Sf"" raises to 1.50",2026-02-17T08:19:54.246Z,177131639424600
"""colin @ 3a8wWh_QDc"" folds",2026-02-17T08:19:50.986Z,177131639098600
"""Cheeesee 30min @ akgR0uz6JH"" posts a big blind of 0.50",2026-02-17T08:19:48.951Z,177131638895107
"""Jon @ hjaoASonwz"" posts a small blind of 0.25",2026-02-17T08:19:48.951Z,177131638895106
"Player stacks: #1 ""broke @ NMdU2MV3Sf"" (107.65) | #5 ""Jon @ hjaoASonwz"" (224.64) | #7 ""Cheeesee 30min @ akgR0uz6JH"" (64.16) | #9 ""colin @ 3a8wWh_QDc"" (109.53)",2026-02-17T08:19:48.951Z,177131638895101
"-- starting hand #307 (id: h4ksho8kenih)  Pot Limit Omaha Hi (dealer: ""broke @ NMdU2MV3Sf"") --",2026-02-17T08:19:48.951Z,177131638895100
"""Cheeesee 30min @ akgR0uz6JH"" shows a 9♠.",2026-02-17T08:19:47.951Z,177131638795100
"""Cheeesee 30min @ akgR0uz6JH"" shows a 6♥.",2026-02-17T08:19:47.302Z,177131638730200
"-- ending hand #306 --",2026-02-17T08:19:45.321Z,177131638532102
"""Jon @ hjaoASonwz"" collected 4.00 from pot",2026-02-17T08:19:45.321Z,177131638532101
"Uncalled bet of 2.00 returned to ""Jon @ hjaoASonwz""",2026-02-17T08:19:45.321Z,177131638532100
"""colin @ 3a8wWh_QDc"" folds",2026-02-17T08:19:44.502Z,177131638450200
"""Jon @ hjaoASonwz"" bets 2.00",2026-02-17T08:19:42.464Z,177131638246400
"Turn: 6♦, 7♣, 4♥ [9♣]",2026-02-17T08:19:40.411Z,177131638041100
"""broke @ NMdU2MV3Sf"" folds",2026-02-17T08:19:39.546Z,177131637954600
"""colin @ 3a8wWh_QDc"" calls 1.00",2026-02-17T08:19:38.700Z,177131637870000
"""Cheeesee 30min @ akgR0uz6JH"" folds",2026-02-17T08:19:37.398Z,177131637739800
"""Jon @ hjaoASonwz"" bets 1.00",2026-02-17T08:19:35.745Z,177131637574500
"""broke @ NMdU2MV3Sf"" checks",2026-02-17T08:19:33.708Z,177131637370800
"Flop:  [6♦, 7♣, 4♥]",2026-02-17T08:19:32.435Z,177131637243500
"""Jon @ hjaoASonwz"" checks",2026-02-17T08:19:31.630Z,177131637163000
"""broke @ NMdU2MV3Sf"" calls 0.50",2026-02-17T08:19:29.764Z,177131636976400
"""colin @ 3a8wWh_QDc"" calls 0.50",2026-02-17T08:19:27.294Z,177131636729400
"""Cheeesee 30min @ akgR0uz6JH"" calls 0.50",2026-02-17T08:19:20.035Z,177131636003500
"""Jon @ hjaoASonwz"" posts a big blind of 0.50",2026-02-17T08:19:18.322Z,177131635832207
"""broke @ NMdU2MV3Sf"" posts a small blind of 0.25",2026-02-17T08:19:18.322Z,177131635832206
"Player stacks: #1 ""broke @ NMdU2MV3Sf"" (108.15) | #5 ""Jon @ hjaoASonwz"" (222.14) | #7 ""Cheeesee 30min @ akgR0uz6JH"" (64.66) | #9 ""colin @ 3a8wWh_QDc"" (111.03)",2026-02-17T08:19:18.322Z,177131635832201
"-- starting hand #306 (id: gddbp1t88hwp)  Pot Limit Omaha Hi (dealer: ""colin @ 3a8wWh_QDc"") --",2026-02-17T08:19:18.322Z,177131635832200
"-- ending hand #305 --",2026-02-17T08:19:15.392Z,177131635539202
"""colin @ 3a8wWh_QDc"" collected 14.08 from pot",2026-02-17T08:19:15.392Z,177131635539201
"Uncalled bet of 14.08 returned to ""colin @ 3a8wWh_QDc""",2026-02-17T08:19:15.392Z,177131635539200
"""Jon @ hjaoASonwz"" folds",2026-02-17T08:19:14.551Z,177131635455100
"""colin @ 3a8wWh_QDc"" bets 14.08",2026-02-17T08:19:13.671Z,177131635367100
"River: 5♣, 8♣, 5♠, 10♣ [2♠]",2026-02-17T08:19:00.812Z,177131634081200
"""Jon @ hjaoASonwz"" calls 1.77",2026-02-17T08:18:59.989Z,177131633998900
"""colin @ 3a8wWh_QDc"" bets 1.77",2026-02-17T08:18:58.491Z,177131633849100
"Turn: 5♣, 8♣, 5♠ [10♣]",2026-02-17T08:18:53.689Z,177131633368900
"""Jon @ hjaoASonwz"" calls 0.77",2026-02-17T08:18:52.868Z,177131633286800
"""colin @ 3a8wWh_QDc"" bets 0.77",2026-02-17T08:18:51.306Z,177131633130600
"Flop:  [5♣, 8♣, 5♠]",2026-02-17T08:18:46.086Z,177131632608600
"""broke @ NMdU2MV3Sf"" folds",2026-02-17T08:18:45.277Z,177131632527700
"""colin @ 3a8wWh_QDc"" calls 4.00",2026-02-17T08:18:41.630Z,177131632163000
"""Jon @ hjaoASonwz"" raises to 4.00",2026-02-17T08:18:39.682Z,177131631968200
"""broke @ NMdU2MV3Sf"" calls 1.00",2026-02-17T08:18:37.601Z,177131631760100
"""colin @ 3a8wWh_QDc"" calls 1.00",2026-02-17T08:18:35.837Z,177131631583700
"""Cheeesee 30min @ akgR0uz6JH"" folds",2026-02-17T08:18:33.965Z,177131631396500
"""Jon @ hjaoASonwz"" posts a straddle of 1.00",2026-02-17T08:18:25.844Z,177131630584408
"""broke @ NMdU2MV3Sf"" posts a big blind of 0.50",2026-02-17T08:18:25.844Z,177131630584407
"""colin @ 3a8wWh_QDc"" posts a small blind of 0.25",2026-02-17T08:18:25.844Z,177131630584406
"Player stacks: #1 ""broke @ NMdU2MV3Sf"" (109.15) | #5 ""Jon @ hjaoASonwz"" (228.68) | #7 ""Cheeesee 30min @ akgR0uz6JH"" (64.66) | #9 ""colin @ 3a8wWh_QDc"" (103.49)",2026-02-17T08:18:25.844Z,177131630584401
"-- starting hand #305 (id: 20jhlcmoza6j)  Pot Limit Omaha Hi (dealer: ""Cheeesee 30min @ akgR0uz6JH"") --",2026-02-17T08:18:25.844Z,177131630584400
"""colin @ 3a8wWh_QDc"" shows a 4♦.",2026-02-17T08:18:24.469Z,177131630446900
"""Jon @ hjaoASonwz"" shows a 5♠.",2026-02-17T08:18:23.925Z,177131630392500
"""Jon @ hjaoASonwz"" shows a 2♠.",2026-02-17T08:18:23.393Z,177131630339300
"-- ending hand #304 --",2026-02-17T08:18:21.533Z,177131630153302
"""colin @ 3a8wWh_QDc"" collected 10.49 from pot",2026-02-17T08:18:21.533Z,177131630153301
"Uncalled bet of 6.96 returned to ""colin @ 3a8wWh_QDc""",2026-02-17T08:18:21.533Z,177131630153300
"""Jon @ hjaoASonwz"" folds",2026-02-17T08:18:20.712Z,177131630071200
"""colin @ 3a8wWh_QDc"" bets 6.96",2026-02-17T08:18:18.813Z,177131629881300
"Turn: 8♠, 10♠, 7♣ [3♠]",2026-02-17T08:18:11.927Z,177131629192700
"""Cheeesee 30min @ akgR0uz6JH"" folds",2026-02-17T08:18:11.073Z,177131629107300
"""Jon @ hjaoASonwz"" calls 2.62",2026-02-17T08:18:10.186Z,177131629018600
"""colin @ 3a8wWh_QDc"" bets 2.62",2026-02-17T08:18:09.011Z,177131628901100
"""Cheeesee 30min @ akgR0uz6JH"" checks",2026-02-17T08:18:03.564Z,177131628356400
"Flop:  [8♠, 10♠, 7♣]",2026-02-17T08:18:01.690Z,177131628169000
"""colin @ 3a8wWh_QDc"" calls 1.75",2026-02-17T08:18:00.830Z,177131628083000
"""Cheeesee 30min @ akgR0uz6JH"" calls 1.75",2026-02-17T08:17:56.415Z,177131627641500
"""Jon @ hjaoASonwz"" raises to 1.75",2026-02-17T08:17:55.330Z,177131627533000
"""broke @ NMdU2MV3Sf"" folds",2026-02-17T08:17:52.477Z,177131627247700
"""colin @ 3a8wWh_QDc"" posts a big blind of 0.50",2026-02-17T08:17:50.512Z,177131627051207
"""Cheeesee 30min @ akgR0uz6JH"" posts a small blind of 0.25",2026-02-17T08:17:50.512Z,177131627051206
"Player stacks: #1 ""broke @ NMdU2MV3Sf"" (109.15) | #5 ""Jon @ hjaoASonwz"" (233.05) | #7 ""Cheeesee 30min @ akgR0uz6JH"" (66.41) | #9 ""colin @ 3a8wWh_QDc"" (97.37)",2026-02-17T08:17:50.512Z,177131627051201
"-- starting hand #304 (id: aqk9s3fxvojz)  Pot Limit Omaha Hi (dealer: ""Jon @ hjaoASonwz"") --",2026-02-17T08:17:50.512Z,177131627051200
"""colin @ 3a8wWh_QDc"" shows a 5♣.",2026-02-17T08:17:49.818Z,177131626981800
"""colin @ 3a8wWh_QDc"" shows a 3♥.",2026-02-17T08:17:48.651Z,177131626865100
"-- ending hand #303 --",2026-02-17T08:17:46.889Z,177131626688902
"""Jon @ hjaoASonwz"" collected 10.00 from pot",2026-02-17T08:17:46.889Z,177131626688901
"Uncalled bet of 7.50 returned to ""Jon @ hjaoASonwz""",2026-02-17T08:17:46.889Z,177131626688900
"""Cheeesee 30min @ akgR0uz6JH"" folds",2026-02-17T08:17:46.077Z,177131626607700
"""Jon @ hjaoASonwz"" bets 7.50",2026-02-17T08:17:43.505Z,177131626350500
"River: 7♦, 9♣, 3♠, 3♦ [5♦]",2026-02-17T08:17:35.278Z,177131625527800
"""Cheeesee 30min @ akgR0uz6JH"" calls 2.50",2026-02-17T08:17:34.464Z,177131625446400
"""Jon @ hjaoASonwz"" bets 2.50",2026-02-17T08:17:32.806Z,177131625280600
"Turn: 7♦, 9♣, 3♠ [3♦]",2026-02-17T08:17:30.216Z,177131625021600
"""Cheeesee 30min @ akgR0uz6JH"" calls 1.00",2026-02-17T08:17:29.392Z,177131624939200
"""Jon @ hjaoASonwz"" bets 1.00",2026-02-17T08:17:27.695Z,177131624769500
"Flop:  [7♦, 9♣, 3♠]",2026-02-17T08:17:25.814Z,177131624581400
"""Cheeesee 30min @ akgR0uz6JH"" calls 1.50",2026-02-17T08:17:24.967Z,177131624496700
"""Jon @ hjaoASonwz"" raises to 1.50",2026-02-17T08:17:23.982Z,177131624398200
"""broke @ NMdU2MV3Sf"" folds",2026-02-17T08:17:20.666Z,177131624066600
"""colin @ 3a8wWh_QDc"" folds",2026-02-17T08:17:16.289Z,177131623628900
"""Cheeesee 30min @ akgR0uz6JH"" posts a big blind of 0.50",2026-02-17T08:17:15.071Z,177131623507107
"""Jon @ hjaoASonwz"" posts a small blind of 0.25",2026-02-17T08:17:15.071Z,177131623507106
"Player stacks: #1 ""broke @ NMdU2MV3Sf"" (109.15) | #5 ""Jon @ hjaoASonwz"" (228.05) | #7 ""Cheeesee 30min @ akgR0uz6JH"" (71.41) | #9 ""colin @ 3a8wWh_QDc"" (97.37)",2026-02-17T08:17:15.071Z,177131623507101
"-- starting hand #303 (id: tncqyxu42gsv)  Pot Limit Omaha Hi (dealer: ""broke @ NMdU2MV3Sf"") --",2026-02-17T08:17:15.071Z,177131623507100
"""Cheeesee 30min @ akgR0uz6JH"" shows a Q♠.",2026-02-17T08:17:13.141Z,177131623314100
"""Cheeesee 30min @ akgR0uz6JH"" shows a A♣.",2026-02-17T08:17:12.682Z,177131623268200
"""Cheeesee 30min @ akgR0uz6JH"" shows a A♠.",2026-02-17T08:17:12.226Z,177131623222600
