entry,at,order
"The player ""aleksey @ kinSywjHRk"" stand up with the stack of 448.50.",2026-02-13T21:35:54.008Z,177101855400800
"The player ""Manan @ _to1309KyP"" stand up with the stack of 391.69.",2026-02-13T21:35:51.929Z,177101855192900
"-- ending hand #272 --",2026-02-13T21:35:49.023Z,177101854902302
"""aleksey @ kinSywjHRk"" collected 2.00 from pot",2026-02-13T21:35:49.023Z,177101854902301
"Uncalled bet of 1.00 returned to ""aleksey @ kinSywjHRk""",2026-02-13T21:35:49.023Z,177101854902300
"""Manan @ _to1309KyP"" folds",2026-02-13T21:35:48.185Z,177101854818500
"""aleksey @ kinSywjHRk"" posts a big blind of 2.00",2026-02-13T21:35:35.743Z,177101853574306
"""Manan @ _to1309KyP"" posts a small blind of 1.00",2026-02-13T21:35:35.743Z,177101853574305
"Player stacks: #8 ""aleksey @ kinSywjHRk"" (447.50) | #10 ""Manan @ _to1309KyP"" (392.69)",2026-02-13T21:35:35.743Z,177101853574302
"-- starting hand #272 (id: nzv1ygygvg4z)  No Limit Texas Hold'em (dealer: ""Manan @ _to1309KyP"") --",2026-02-13T21:35:35.743Z,177101853574301
"The player ""Lucas @ dbYuwWoGQS"" stand up with the stack of 489.50.",2026-02-13T21:35:35.743Z,177101853574300
"-- ending hand #271 --",2026-02-13T21:35:32.836Z,177101853283602
"""Manan @ _to1309KyP"" collected 18.00 from pot",2026-02-13T21:35:32.836Z,177101853283601
"Uncalled bet of 9.00 returned to ""Manan @ _to1309KyP""",2026-02-13T21:35:32.836Z,177101853283600
"""aleksey @ kinSywjHRk"" folds",2026-02-13T21:35:32.013Z,177101853201300
"""Manan @ _to1309KyP"" bets 9.00",2026-02-13T21:35:25.441Z,177101852544100
"River: 8♣, 5♥, 5♦, J♠ [9♠]",2026-02-13T21:35:16.452Z,177101851645200
"""aleksey @ kinSywjHRk"" checks",2026-02-13T21:35:15.595Z,177101851559500
"""Manan @ _to1309KyP"" checks",2026-02-13T21:34:59.768Z,177101849976800
"Turn: 8♣, 5♥, 5♦ [J♠]",2026-02-13T21:34:53.037Z,177101849303700
