entry,at,order
"The player ""Bryand @ 6-STeBhFEr"" stand up with the stack of 1109.33.",2026-02-17T01:51:34.187Z,177129309418700
"The player ""DXMA @ TUuhUR8Hnw"" quits the game with a stack of 543.00.",2026-02-17T01:51:21.470Z,177129308147001
"The player ""DXMA @ TUuhUR8Hnw"" stand up with the stack of 543.00.",2026-02-17T01:51:21.470Z,177129308147000
"""table @ 4gI6I84ZVK"" collected 12.00 from the 7-2 bounty",2026-02-17T01:51:18.511Z,177129307851102
"""DXMA @ TUuhUR8Hnw"" paid 6.00 for the 7-2 bounty to ""table @ 4gI6I84ZVK""",2026-02-17T01:51:18.511Z,177129307851101
"""Bryand @ 6-STeBhFEr"" paid 6.00 for the 7-2 bounty to ""table @ 4gI6I84ZVK""",2026-02-17T01:51:18.511Z,177129307851100
"The admin ""table @ 4gI6I84ZVK"" enqueued the game stop on next hand.",2026-02-17T01:51:18.078Z,177129307807800
"""table @ 4gI6I84ZVK"" shows a 2♥, 7♣.",2026-02-17T01:51:15.492Z,177129307549200
"-- ending hand #375 --",2026-02-17T01:51:14.865Z,177129307486502
"""table @ 4gI6I84ZVK"" collected 5.00 from pot",2026-02-17T01:51:14.865Z,177129307486501
"Uncalled bet of 4.00 returned to ""table @ 4gI6I84ZVK""",2026-02-17T01:51:14.865Z,177129307486500
"""Bryand @ 6-STeBhFEr"" folds",2026-02-17T01:51:14.007Z,177129307400700
"""DXMA @ TUuhUR8Hnw"" folds",2026-02-17T01:50:54.658Z,177129305465800
"""table @ 4gI6I84ZVK"" raises to 6.00",2026-02-17T01:50:51.561Z,177129305156100
"""Bryand @ 6-STeBhFEr"" posts a big blind of 2.00",2026-02-17T01:50:49.087Z,177129304908707
"""DXMA @ TUuhUR8Hnw"" posts a small blind of 1.00",2026-02-17T01:50:49.087Z,177129304908706
"Player stacks: #5 ""table @ 4gI6I84ZVK"" (835.80) | #8 ""DXMA @ TUuhUR8Hnw"" (550.00) | #9 ""Bryand @ 6-STeBhFEr"" (1117.33)",2026-02-17T01:50:49.087Z,177129304908702
"-- starting hand #375 (id: igrtxavkfl8g)  No Limit Texas Hold'em (dead button) --",2026-02-17T01:50:49.087Z,177129304908701
"The player ""Aleksey @ kinSywjHRk"" quits the game with a stack of 0.00.",2026-02-17T01:50:49.087Z,177129304908700
"-- ending hand #374 --",2026-02-17T01:50:43.079Z,177129304307903
"""Aleksey @ kinSywjHRk"" shows a J♣, Q♦.",2026-02-17T01:50:43.079Z,177129304307902
"""table @ 4gI6I84ZVK"" collected 343.50 from pot with Four of a Kind, 7's (combination: J♥, 7♦, 7♠, 7♣, 7♥)",2026-02-17T01:50:43.079Z,177129304307901
"""table @ 4gI6I84ZVK"" shows a J♦, 7♦.",2026-02-17T01:50:43.079Z,177129304307900
"""Aleksey @ kinSywjHRk"" calls 153.75 and go all in",2026-02-17T01:50:42.276Z,177129304227600
"""table @ 4gI6I84ZVK"" raises to 153.75",2026-02-17T01:50:23.367Z,177129302336700
"""Aleksey @ kinSywjHRk"" bets 24.00",2026-02-17T01:49:30.354Z,177129297035400
"River: J♥, 7♠, 5♥, 7♣ [7♥]",2026-02-17T01:49:13.002Z,177129295300200
"""table @ 4gI6I84ZVK"" checks",2026-02-17T01:49:12.163Z,177129295216300
"""Aleksey @ kinSywjHRk"" checks",2026-02-17T01:49:09.036Z,177129294903600
"Turn: J♥, 7♠, 5♥ [7♣]",2026-02-17T01:49:06.697Z,177129294669700
"""DXMA @ TUuhUR8Hnw"" folds",2026-02-17T01:49:05.894Z,177129294589400
"""Aleksey @ kinSywjHRk"" calls 9.00",2026-02-17T01:49:04.859Z,177129294485900
"""table @ 4gI6I84ZVK"" bets 9.00",2026-02-17T01:48:57.999Z,177129293799900
"""DXMA @ TUuhUR8Hnw"" checks",2026-02-17T01:48:35.168Z,177129291516800
"""Aleksey @ kinSywjHRk"" checks",2026-02-17T01:48:34.333Z,177129291433300
"Flop:  [J♥, 7♠, 5♥]",2026-02-17T01:48:31.646Z,177129291164600
"""DXMA @ TUuhUR8Hnw"" calls 6.00",2026-02-17T01:48:30.818Z,177129291081800
"""Aleksey @ kinSywjHRk"" calls 6.00",2026-02-17T01:48:28.821Z,177129290882100
"The player ""Not signing in @ _Sdv7lvRye"" requested a seat.",2026-02-17T01:48:28.624Z,177129290862400
"""table @ 4gI6I84ZVK"" raises to 6.00",2026-02-17T01:48:26.644Z,177129290664400
"""Bryand @ 6-STeBhFEr"" folds",2026-02-17T01:48:20.315Z,177129290031500
"""DXMA @ TUuhUR8Hnw"" posts a big blind of 2.00",2026-02-17T01:48:18.330Z,177129289833007
"""Aleksey @ kinSywjHRk"" posts a small blind of 1.00",2026-02-17T01:48:18.330Z,177129289833006
"Player stacks: #5 ""table @ 4gI6I84ZVK"" (661.05) | #7 ""Aleksey @ kinSywjHRk"" (168.75) | #8 ""DXMA @ TUuhUR8Hnw"" (556.00) | #9 ""Bryand @ 6-STeBhFEr"" (1117.33)",2026-02-17T01:48:18.330Z,177129289833001
"-- starting hand #374 (id: f1pbw6omsmui)  No Limit Texas Hold'em (dealer: ""table @ 4gI6I84ZVK"") --",2026-02-17T01:48:18.330Z,177129289833000
"-- ending hand #373 --",2026-02-17T01:48:15.369Z,177129289536902
"""Aleksey @ kinSywjHRk"" collected 18.00 from pot",2026-02-17T01:48:15.369Z,177129289536901
"Uncalled bet of 22.00 returned to ""Aleksey @ kinSywjHRk""",2026-02-17T01:48:15.369Z,177129289536900
"""table @ 4gI6I84ZVK"" folds",2026-02-17T01:48:14.566Z,177129289456600
"""Bryand @ 6-STeBhFEr"" folds",2026-02-17T01:48:13.469Z,177129289346900
"""Aleksey @ kinSywjHRk"" raises to 28.00",2026-02-17T01:48:10.668Z,177129289066800
"""table @ 4gI6I84ZVK"" calls 6.00",2026-02-17T01:48:02.116Z,177129288211600
"""Bryand @ 6-STeBhFEr"" raises to 6.00",2026-02-17T01:47:49.482Z,177129286948200
"""DXMA @ TUuhUR8Hnw"" folds",2026-02-17T01:47:47.547Z,177129286754700
"""Aleksey @ kinSywjHRk"" posts a big blind of 2.00",2026-02-17T01:47:46.062Z,177129286606207
