entry,at,order
"The player ""derek @ 8FJWmNLuTA"" passed the room ownership to ""Aleksey @ kinSywjHRk"".",2026-02-14T09:26:16.778Z,177106117677800
"The player ""derek @ 8FJWmNLuTA"" quits the game with a stack of 372.26.",2026-02-14T09:17:32.960Z,177106065296002
"The player ""ivan @ tihO-0MWCV"" quits the game with a stack of 98.22.",2026-02-14T09:17:32.960Z,177106065296001
"The player ""Aleksey @ kinSywjHRk"" stand up with the stack of 999.64.",2026-02-14T09:17:32.960Z,177106065296000
"-- ending hand #246 --",2026-02-14T09:17:30.028Z,177106065002802
"""Aleksey @ kinSywjHRk"" collected 5.00 from pot",2026-02-14T09:17:30.028Z,177106065002801
"Uncalled bet of 4.00 returned to ""Aleksey @ kinSywjHRk""",2026-02-14T09:17:30.028Z,177106065002800
"""derek @ 8FJWmNLuTA"" folds",2026-02-14T09:17:29.198Z,177106064919800
"""ivan @ tihO-0MWCV"" folds",2026-02-14T09:17:26.986Z,177106064698600
"""Aleksey @ kinSywjHRk"" raises to 6.00",2026-02-14T09:17:26.177Z,177106064617700
"""derek @ 8FJWmNLuTA"" posts a big blind of 2.00",2026-02-14T09:17:22.817Z,177106064281706
"""ivan @ tihO-0MWCV"" posts a small blind of 1.00",2026-02-14T09:17:22.817Z,177106064281705
"Player stacks: #8 ""ivan @ tihO-0MWCV"" (99.22) | #9 ""derek @ 8FJWmNLuTA"" (374.26) | #10 ""Aleksey @ kinSywjHRk"" (996.64)",2026-02-14T09:17:22.817Z,177106064281701
"-- starting hand #246 (id: 2jfxkh42sxfn)  No Limit Texas Hold'em (dealer: ""Aleksey @ kinSywjHRk"") --",2026-02-14T09:17:22.817Z,177106064281700
"-- ending hand #245 --",2026-02-14T09:17:19.785Z,177106063978502
"""derek @ 8FJWmNLuTA"" collected 26.00 from pot with Pair, A's (combination: 6♦, 8♥, 9♦, A♠, A♣)",2026-02-14T09:17:19.785Z,177106063978501
"""derek @ 8FJWmNLuTA"" shows a 4♠, A♠.",2026-02-14T09:17:19.785Z,177106063978500
"""ivan @ tihO-0MWCV"" calls 6.50",2026-02-14T09:17:18.977Z,177106063897700
"""derek @ 8FJWmNLuTA"" bets 6.50",2026-02-14T09:17:15.848Z,177106063584800
"""ivan @ tihO-0MWCV"" checks",2026-02-14T09:17:13.373Z,177106063337300
"River: 6♦, A♣, 8♥, 2♣ [9♦]",2026-02-14T09:17:11.781Z,177106063178100
"""derek @ 8FJWmNLuTA"" checks",2026-02-14T09:17:10.973Z,177106063097300
"""ivan @ tihO-0MWCV"" checks",2026-02-14T09:17:08.689Z,177106062868900
"Turn: 6♦, A♣, 8♥ [2♣]",2026-02-14T09:17:01.773Z,177106062177300
"""derek @ 8FJWmNLuTA"" checks",2026-02-14T09:17:00.835Z,177106062083500
"""ivan @ tihO-0MWCV"" checks",2026-02-14T09:16:59.256Z,177106061925600
"Flop:  [6♦, A♣, 8♥]",2026-02-14T09:16:51.705Z,177106061170500
"""ivan @ tihO-0MWCV"" calls 6.00",2026-02-14T09:16:50.883Z,177106061088300
"""Aleksey @ kinSywjHRk"" folds",2026-02-14T09:16:45.056Z,177106060505600
"""derek @ 8FJWmNLuTA"" raises to 6.00",2026-02-14T09:16:43.109Z,177106060310900
"""ivan @ tihO-0MWCV"" posts a big blind of 2.00",2026-02-14T09:16:37.617Z,177106059761706
"""Aleksey @ kinSywjHRk"" posts a small blind of 1.00",2026-02-14T09:16:37.617Z,177106059761705
"Player stacks: #8 ""ivan @ tihO-0MWCV"" (111.72) | #9 ""derek @ 8FJWmNLuTA"" (360.76) | #10 ""Aleksey @ kinSywjHRk"" (997.64)",2026-02-14T09:16:37.617Z,177106059761701
"-- starting hand #245 (id: zqtolixmy0wo)  No Limit Texas Hold'em (dealer: ""derek @ 8FJWmNLuTA"") --",2026-02-14T09:16:37.617Z,177106059761700
"""Aleksey @ kinSywjHRk"" shows a 7♥, 6♥.",2026-02-14T09:16:35.791Z,177106059579100
"-- ending hand #244 --",2026-02-14T09:16:33.896Z,177106059389603
"""ivan @ tihO-0MWCV"" collected 111.72 from pot with Pair, Q's (combination: 8♥, 9♣, 10♠, Q♦, Q♠)",2026-02-14T09:16:33.896Z,177106059389602
"""ivan @ tihO-0MWCV"" shows a Q♦, 8♥.",2026-02-14T09:16:33.896Z,177106059389601
"""derek @ 8FJWmNLuTA"" shows a K♣, 8♦.",2026-02-14T09:16:33.896Z,177106059389600
"""Aleksey @ kinSywjHRk"" checks",2026-02-14T09:16:33.078Z,177106059307800
"""derek @ 8FJWmNLuTA"" checks",2026-02-14T09:16:31.958Z,177106059195800
"River: 2♦, Q♠, 5♠, 9♣ [10♠]",2026-02-14T09:16:31.095Z,177106059109500
"""Aleksey @ kinSywjHRk"" checks",2026-02-14T09:16:30.241Z,177106059024100
"""derek @ 8FJWmNLuTA"" checks",2026-02-14T09:16:28.883Z,177106058888300
"Turn: 2♦, Q♠, 5♠ [9♣]",2026-02-14T09:16:28.012Z,177106058801200
"""Aleksey @ kinSywjHRk"" checks",2026-02-14T09:16:27.192Z,177106058719200
"""derek @ 8FJWmNLuTA"" checks",2026-02-14T09:16:25.758Z,177106058575800
